contextRef,count
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_MinimumMembersrtRangeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_MinimumMembersrtRangeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_MinimumMembersrtRangeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_SeriesFConvertibleStockMemberPLTRTemporaryEquityTypeAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
